name,birth,position,height,weight,start_year,end_year,career,games,goals,assist,birth_month
양익전,1966/03/20,FW,170,70,1989,1989,1,2,0,0,3
최영일,1966/04/25,DF,181,76,1989,2000,11,266,3,6,4
고백진,1966/05/03,FW,171,68,1989,1989,1,1,0,0,5
이수철,1966/05/20,FW,170,65,1989,1995,7,91,9,4,5
박창현,1966/06/08,FW,176,70,1989,1995,5,108,15,8,6
고정운,1966/06/27,MF,177,74,1989,2001,11,230,55,48,6
백송,1966/08/15,FW,170,62,1989,1995,5,69,9,2,8
차석준,1966/08/24,DF,177,72,1989,1995,7,112,3,4,8
안종관,1966/08/30,DF,175,70,1989,1990,2,48,0,2,8
이영익,1966/08/30,NA,180,85,1989,1997,9,190,6,6,8
심봉섭,1966/09/10,FW,172,65,1989,1995,7,156,13,7,9
안성일,1966/09/10,MF,182,71,1989,1996,8,200,19,8,9
김현석,1966/09/14,MF,180,78,1989,1990,2,41,0,0,9
손종찬,1966/11/01,DF,173,68,1989,1995,7,108,0,3,11
한연수,1966/11/17,DF,179,76,1989,1989,1,6,0,0,11
한창우,1966/12/05,FW,185,80,1989,1992,3,48,2,0,12
오봉철,1966/12/17,DF,180,72,1989,1991,2,28,0,2,12
이인재,1967/01/02,FW,175,67,1989,1997,8,137,12,10,1
장재학,1967/01/15,DF,175,70,1989,1991,2,25,0,1,1
노경환,1967/05/06,FW,180,72,1989,1995,6,149,21,12,5
박광현,1967/07/24,DF,180,77,1989,1999,11,208,5,0,7
최청일,1968/04/25,MF,172,66,1989,1996,8,66,3,5,4
이효용,1970/06/06,FW,172,68,1989,1990,2,18,1,2,6
이장욱,1970/07/02,DF,183,75,1989,1991,3,54,3,0,7
